Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Who should replace Nikki Haley as our ambassador to the U.N.?,12,62.04,99.00,1.00,25.77,12.00,16.67,66.67,58.33,25.00,16.67,0.00,8.33,8.33,0.00,0.00,8.33,8.33,16.67,8.33,0.00,8.33,0.00,8.33,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,25.00,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00
"* John Bolton Richard Grenell Dina Powell Heather Nauert Ivanka Trump",10,93.26,50.00,1.00,25.77,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
Email *,1,93.26,99.00,1.00,25.77,1.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Comments This field is for validation purposes and should be left unchanged.,12,18.82,79.76,1.00,25.77,12.00,33.33,75.00,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,25.00,0.00,8.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,16.67,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,8.33,16.67,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Completing this poll grants you access to Freedom Outpost updates free of charge.,13,93.26,93.79,1.40,99.00,13.00,30.77,61.54,30.77,15.38,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You may opt out at anytime.,6,93.26,99.00,99.00,25.77,6.00,16.67,83.33,66.67,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,50.00,0.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You also agree to this site's Privacy Policy and Terms of Use.,12,38.60,95.20,1.00,99.00,12.00,8.33,75.00,50.00,16.67,8.33,0.00,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,8.33,16.67,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
"What makes this recent purge from Facebook and Twitter so egregious is that the pages like the Free Thought Project, the Anti-Media, Press for Truth, and dozens of others, did not fit the hate speech narrative these same companies used to wipe out Alex Jones.",46,88.21,41.41,9.25,66.89,46.00,15.22,80.43,45.65,10.87,0.00,0.00,0.00,0.00,0.00,0.00,10.87,8.70,13.04,4.35,2.17,6.52,2.17,13.04,6.52,6.52,2.17,2.17,0.00,6.52,4.35,2.17,0.00,2.17,0.00,4.35,0.00,0.00,0.00,0.00,13.04,2.17,4.35,0.00,0.00,2.17,4.35,4.35,0.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,6.52,0.00,6.52,0.00,4.35,2.17,4.35,4.35,0.00,2.17,0.00,0.00,2.17,0.00,2.17,0.00,0.00,0.00,13.04,2.17,8.70,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00
"Instead, these pages were dedicated to spreading peace, bridging the divide, bringing humanity together and holding government accountable.",18,75.90,71.09,23.51,98.27,18.00,55.56,72.22,33.33,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,5.56,5.56,5.56,5.56,0.00,11.11,5.56,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,0.00,5.56,0.00,0.00,5.56,0.00,0.00,11.11,5.56,5.56,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,5.56,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"And how does this poem end, again?",7,1.00,50.00,89.63,25.77,7.00,0.00,85.71,71.43,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,28.57,28.57,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,28.57,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
"https://t.co/nUZ82x9JFt — Anya Parampil (@anyaparampil) August 6, 2018",11,93.26,50.00,2.40,25.77,11.00,27.27,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,63.64,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,27.27
The purge happened around 12:30 p.m. CST with mainstream news reports launching at the same time — implying that they were given the heads up about the move.,29,99.00,63.49,47.93,25.77,14.50,17.24,72.41,41.38,6.90,3.45,0.00,0.00,0.00,0.00,3.45,3.45,13.79,17.24,3.45,6.90,0.00,0.00,13.79,3.45,3.45,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,6.90,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,3.45,0.00,0.00,3.45,0.00,0.00,10.34,3.45,0.00,20.69,6.90,10.34,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,10.34,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"In a statement co-authored by Facebook Head of Cybersecurity Nathaniel Gleicher — who Caitlin Johnstone aptly points out, also happens to be the former White House National Security Council Director of Cybersecurity Policy — the massive social media platform explained that it has removed “559 Pages and 251 accounts that have consistently broken our rules against spam and coordinated inauthentic behavior.”",60,89.57,84.14,32.84,57.28,60.00,40.00,70.00,35.00,8.33,1.67,0.00,1.67,0.00,0.00,0.00,6.67,5.00,11.67,5.00,1.67,5.00,0.00,8.33,8.33,1.67,1.67,3.33,0.00,1.67,1.67,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,3.33,0.00,0.00,0.00,0.00,1.67,1.67,1.67,0.00,0.00,1.67,1.67,0.00,0.00,0.00,13.33,5.00,0.00,6.67,0.00,1.67,3.33,6.67,0.00,13.33,3.33,8.33,1.67,5.00,1.67,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,1.67,1.67,0.00,0.00,0.00,0.00,1.67,3.33,0.00,0.00,0.00
"Facebook said the pages were “working to mislead others about who they are, and what they are doing.” However, this couldn’t be further from the truth.",26,3.62,77.92,1.40,89.84,13.00,23.08,96.15,73.08,23.08,7.69,0.00,0.00,0.00,0.00,7.69,15.38,7.69,11.54,23.08,7.69,7.69,3.85,30.77,3.85,3.85,7.69,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,19.23,0.00,0.00,0.00,0.00,19.23,0.00,3.85,3.85,0.00,3.85,7.69,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,3.85,0.00,0.00,0.00,7.69,11.54,0.00,3.85,0.00,3.85,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.92,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,3.85,0.00,0.00
"Our names, addresses, and phone numbers were on all of our pages and our profiles.",15,34.14,99.00,1.00,25.77,15.00,20.00,73.33,53.33,20.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,13.33,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"“We were verified by Facebook with a little check mark next to our name, so they know we are a legitimate organization/outlet.",23,71.39,99.00,9.25,25.77,23.00,17.39,78.26,52.17,17.39,17.39,0.00,13.04,0.00,0.00,4.35,0.00,8.70,13.04,8.70,4.35,4.35,0.00,13.04,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.09,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,17.39,0.00,0.00,0.00,0.00,4.35,8.70,0.00,8.70,0.00,4.35,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35
"They have seen our “Articles of Organization” which was issued by the state of Louisiana, which is where my partner and The Free Thought Project co-founder lives,” Jason Bassler, co-founder of the Free Thought Project explained.",38,82.45,85.38,9.58,97.58,38.00,31.58,78.95,44.74,13.16,7.89,2.63,2.63,0.00,0.00,2.63,5.26,7.89,10.53,7.89,2.63,2.63,0.00,21.05,5.26,0.00,7.89,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,10.53,0.00,2.63,0.00,0.00,7.89,7.89,0.00,0.00,0.00,0.00,0.00,2.63,2.63,0.00,0.00,2.63,0.00,2.63,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,7.89,7.89,0.00,2.63,0.00,2.63,0.00,7.89,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.68,2.63,7.89,0.00,0.00,0.00,0.00,5.26,7.89,0.00,0.00,0.00
"However, in their statement, Facebook then suggested the real reason behind the purge — elections are coming — and pesky folks like the independent media have a way of reporting information on candidates that the mainstream tends to ignore — like war, corruption, and most recently, Brett Kavanaugh’s disdain for the Constitution.",49,98.63,72.97,59.54,1.00,49.00,30.61,77.55,44.90,4.08,2.04,0.00,0.00,0.00,0.00,2.04,2.04,12.24,16.33,4.08,2.04,8.16,0.00,10.20,6.12,8.16,0.00,0.00,2.04,4.08,0.00,4.08,0.00,2.04,0.00,8.16,2.04,0.00,0.00,0.00,12.24,6.12,4.08,0.00,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,2.04,0.00,2.04,0.00,0.00,0.00,8.16,4.08,14.29,2.04,8.16,4.08,2.04,2.04,0.00,0.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,14.29,2.04,10.20,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.00
"“Given the activity we’ve seen — and its timing ahead of the US midterm elections — we wanted to give some details about the types of behavior that led to this action,” Facebook said, before accusing us of hawking fake products or functioning as ad farms that tricked “people into thinking that they were forums for legitimate political debate.”",57,89.34,98.83,19.27,1.00,57.00,24.56,80.70,47.37,17.54,8.77,0.00,7.02,0.00,0.00,1.75,8.77,5.26,19.30,3.51,1.75,5.26,0.00,15.79,7.02,3.51,0.00,0.00,1.75,3.51,0.00,3.51,0.00,1.75,0.00,17.54,0.00,0.00,0.00,0.00,12.28,3.51,3.51,1.75,3.51,0.00,1.75,3.51,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,12.28,8.77,1.75,1.75,0.00,0.00,14.04,1.75,1.75,12.28,5.26,1.75,5.26,5.26,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.04,1.75,3.51,0.00,0.00,0.00,0.00,0.00,7.02,1.75,0.00,0.00
It should be stated that TFTP never hid the fact that we worked with other independent media groups to share our information around the web — this is the very definition of grassroots.,32,47.36,89.42,7.84,81.93,32.00,12.50,84.38,59.38,21.88,6.25,0.00,6.25,0.00,0.00,0.00,15.62,9.38,12.50,9.38,9.38,0.00,3.12,12.50,0.00,0.00,0.00,0.00,3.12,3.12,3.12,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,21.88,6.25,3.12,3.12,0.00,6.25,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,12.50,3.12,0.00,0.00,3.12,3.12,9.38,0.00,6.25,0.00,3.12,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
But all of us together certainly posed a threat to the mainstream so this nonsense about tricking people was brought into play.,22,87.93,91.35,31.94,94.75,22.00,27.27,81.82,50.00,9.09,4.55,0.00,4.55,0.00,0.00,0.00,4.55,9.09,18.18,4.55,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,4.55,13.64,9.09,4.55,4.55,4.55,0.00,13.64,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,9.09,0.00,4.55,0.00,4.55,9.09,0.00,0.00,13.64,4.55,9.09,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Within all of our pages under the Free Thought umbrella, we had close to 6 million followers.",17,99.00,99.00,66.34,98.87,17.00,23.53,82.35,47.06,11.76,11.76,0.00,11.76,0.00,0.00,0.00,0.00,5.88,23.53,5.88,0.00,0.00,0.00,11.76,5.88,0.00,0.00,11.76,5.88,5.88,5.88,0.00,0.00,0.00,0.00,17.65,0.00,5.88,0.00,0.00,11.76,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,11.76,0.00,11.76,0.00,0.00,5.88,0.00,0.00,17.65,0.00,17.65,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Does Facebook think it knows better than the 6 million people who clicked like on our page?,17,93.26,99.00,66.34,98.87,17.00,17.65,88.24,47.06,17.65,5.88,0.00,5.88,0.00,0.00,0.00,11.76,5.88,17.65,5.88,0.00,0.00,0.00,17.65,11.76,17.65,5.88,11.76,0.00,5.88,5.88,0.00,0.00,0.00,0.00,23.53,0.00,0.00,0.00,0.00,17.65,11.76,0.00,0.00,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,17.65,11.76,5.88,0.00,5.88,0.00,0.00,17.65,0.00,5.88,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00
"We also had close to 16,000 reviews on our page with an average 4.1 star rating, directly showing that people desired to see what we were putting out.",29,77.56,99.00,11.50,85.87,29.00,20.69,79.31,48.28,17.24,10.34,0.00,10.34,0.00,0.00,0.00,6.90,3.45,17.24,6.90,3.45,3.45,0.00,10.34,3.45,0.00,3.45,10.34,3.45,3.45,3.45,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,6.90,0.00,0.00,3.45,0.00,3.45,0.00,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,10.34,0.00,0.00,3.45,0.00,6.90,3.45,0.00,17.24,3.45,13.79,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,3.45,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The only ones manipulating people here are the tech giants themselves.,11,57.84,96.52,1.00,25.77,11.00,18.18,72.73,54.55,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,18.18,0.00,9.09,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All but proving the case that this was a coordinated attack by the tech giant community, shortly after the purge on Facebook, Twitter followed suit, wiping out our profiles on there as well.",33,95.64,88.71,85.21,25.77,33.00,24.24,78.79,54.55,9.09,3.03,0.00,3.03,0.00,0.00,0.00,6.06,12.12,18.18,3.03,9.09,6.06,0.00,6.06,9.09,6.06,0.00,0.00,3.03,6.06,3.03,3.03,0.00,3.03,0.00,12.12,0.00,0.00,0.00,0.00,9.09,3.03,0.00,0.00,0.00,6.06,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,12.12,0.00,3.03,0.00,0.00,6.06,0.00,0.00,21.21,3.03,15.15,3.03,0.00,6.06,0.00,0.00,0.00,0.00,6.06,0.00,3.03,0.00,3.03,0.00,12.12,3.03,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
They gave absolutely no reason for the suspension.,8,72.69,89.42,7.84,25.77,8.00,25.00,87.50,62.50,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,12.50,0.00,12.50,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"“This signifies a re-consolidation of the media.",8,99.00,50.00,1.00,25.77,8.00,25.00,50.00,50.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,12.50,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00
"Cable news media controlled the narrative for most of modern history, but the internet has lowered that barrier to entry and allowed the average person to become the media themselves.",30,97.53,63.05,23.51,1.03,30.00,30.00,73.33,46.67,6.67,3.33,0.00,0.00,0.00,0.00,3.33,3.33,13.33,13.33,6.67,0.00,6.67,0.00,10.00,10.00,3.33,0.00,0.00,6.67,3.33,0.00,3.33,0.00,0.00,3.33,6.67,0.00,0.00,0.00,0.00,16.67,3.33,6.67,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,3.33,6.67,0.00,10.00,0.00,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"This obviously took market share and influence away from the traditional media, and it has allowed for a more diverse public conversation.",22,93.26,91.35,1.00,94.75,22.00,27.27,90.91,45.45,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,13.64,4.55,0.00,9.09,0.00,9.09,4.55,4.55,0.00,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,13.64,0.00,9.09,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,13.64,0.00,9.09,4.55,0.00,4.55,9.09,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Now it seems the platforms that have monopolized the industry are favoring mainstream sources and silencing alternative voices.,18,46.37,28.91,58.07,98.27,18.00,44.44,94.44,44.44,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,11.11,5.56,5.56,0.00,22.22,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.56,5.56,0.00,5.56,0.00,5.56,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,22.22,0.00,11.11,0.00,5.56,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"So now, instead of allowing more people to have a voice, these platforms are creating an atmosphere where only powerful media organizations are welcome, just as we had on cable news,” John Vibes poignantly noted.",35,44.59,80.42,13.15,98.56,35.00,25.71,77.14,51.43,5.71,2.86,0.00,2.86,0.00,0.00,0.00,2.86,5.71,11.43,11.43,17.14,5.71,0.00,14.29,5.71,5.71,2.86,0.00,2.86,5.71,5.71,0.00,0.00,0.00,0.00,8.57,0.00,0.00,0.00,0.00,8.57,0.00,5.71,0.00,0.00,0.00,2.86,2.86,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,14.29,5.71,5.71,5.71,0.00,0.00,2.86,11.43,0.00,11.43,0.00,8.57,2.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.14,2.86,11.43,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00
